label	x	y	x-scaled	y-scaled
AF1	-0.1025	0.5139	-51.25	256.95
AF10	0.5878	0.809	293.9	404.5
AF10h	0.5021	0.691	251.05	345.5
AF1h	-0.0512	0.5105	-25.6	255.25
AF2	0.1025	0.5139	51.25	256.95
AF2h	0.0512	0.5105	25.6	255.25
AF3	-0.2067	0.5274	-103.35	263.7
AF3h	-0.1543	0.5194	-77.15	259.7
AF4	0.2067	0.5274	103.35	263.7
AF4h	0.1543	0.5194	77.15	259.7
AF5	-0.3143	0.5513	-157.15	275.65
AF5h	-0.26	0.5379	-130	268.95
AF6	0.3143	0.5513	157.15	275.65
AF6h	0.26	0.5379	130	268.95
AF7	-0.427	0.5879	-213.5	293.95
AF7h	-0.3699	0.5678	-184.95	283.9
AF8	0.427	0.5879	213.5	293.95
AF8h	0.3699	0.5678	184.95	283.9
AF9	-0.5878	0.809	-293.9	404.5
AF9h	-0.5021	0.691	-251.05	345.5
AFF1	-0.1207	0.4195	-60.35	209.75
AFF10	0.7071	0.7071	353.55	353.55
AFF10h	0.6039	0.6039	301.95	301.95
AFF1h	-0.0602	0.4155	-30.1	207.75
AFF2	0.1207	0.4195	60.35	209.75
AFF2h	0.0602	0.4155	30.1	207.75
AFF3	-0.2444	0.4361	-122.2	218.05
AFF3h	-0.182	0.4263	-91	213.15
AFF4	0.2444	0.4361	122.2	218.05
AFF4h	0.182	0.4263	91	213.15
AFF5	-0.3743	0.4661	-187.15	233.05
AFF5h	-0.3084	0.4493	-154.2	224.65
AFF6	0.3743	0.4661	187.15	233.05
AFF6h	0.3084	0.4493	154.2	224.65
AFF7	-0.5138	0.5138	-256.9	256.9
AFF7h	-0.4426	0.4874	-221.3	243.7
AFF8	0.5138	0.5138	256.9	256.9
AFF8h	0.4426	0.4874	221.3	243.7
AFF9	-0.7071	0.7071	-353.55	353.55
AFF9h	-0.6039	0.6039	-301.95	301.95
AFFz	0	0.4142	0	207.1
AFp1	-0.0803	0.6148	-40.15	307.4
AFp10	0.454	0.891	227	445.5
AFp10h	0.3878	0.761	193.9	380.5
AFp1h	-0.0401	0.6133	-20.05	306.65
AFp2	0.0803	0.6148	40.15	307.4
AFp2h	0.0401	0.6133	20.05	306.65
AFp3	-0.1615	0.621	-80.75	310.5
AFp3h	-0.1207	0.6174	-60.35	308.7
